-------------------------------------------------------
NAV_START | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37291957 | -80.00995225 | 6.25m/s | 278.94977m | 72 | Sat Nov 30 20:26:52 EST 2019
CUR_LOC | 40.37296749 | -80.0098829 | 7.0m/s | 271.9082m | 72 | Sat Nov 30 20:26:53 EST 2019
CUR_LOC | 40.37300574 | -80.00979575 | 7.75m/s | 265.43918m | 72 | Sat Nov 30 20:26:53 EST 2019
CUR_LOC | 40.37307053 | -80.00972114 | 8.5m/s | 256.60977m | 72 | Sat Nov 30 20:26:55 EST 2019
CUR_LOC | 40.37314879 | -80.00967332 | 7.75m/s | 247.09218m | 72 | Sat Nov 30 20:26:55 EST 2019
CUR_LOC | 40.37321911 | -80.0096419 | 7.5m/s | 238.84198m | 72 | Sat Nov 30 20:26:56 EST 2019
CUR_LOC | 40.37327311 | -80.00957925 | 7.5m/s | 231.53362m | 72 | Sat Nov 30 20:26:58 EST 2019
CUR_LOC | 40.37332854 | -80.00951432 | 8.0m/s | 224.06752m | 72 | Sat Nov 30 20:26:59 EST 2019
CUR_LOC | 40.37342597 | -80.00947676 | 8.5m/s | 212.78856m | 72 | Sat Nov 30 20:27:00 EST 2019
CUR_LOC | 40.37349338 | -80.00942289 | 8.75m/s | 204.34537m | 72 | Sat Nov 30 20:27:00 EST 2019
CUR_LOC | 40.37356425 | -80.00935525 | 9.0m/s | 195.26663m | 72 | Sat Nov 30 20:27:02 EST 2019
CUR_LOC | 40.37363748 | -80.00931547 | 9.5m/s | 186.55603m | 72 | Sat Nov 30 20:27:02 EST 2019
CUR_LOC | 40.37370085 | -80.00925633 | 9.0m/s | 178.54448m | 72 | Sat Nov 30 20:27:03 EST 2019
CUR_LOC | 40.37374141 | -80.00916472 | 8.25m/s | 172.53961m | 72 | Sat Nov 30 20:27:04 EST 2019
CUR_LOC | 40.37378873 | -80.0090841 | 8.5m/s | 166.20032m | 72 | Sat Nov 30 20:27:05 EST 2019
CUR_LOC | 40.37382515 | -80.00899097 | 8.25m/s | 161.15956m | 72 | Sat Nov 30 20:27:06 EST 2019
CUR_LOC | 40.37387255 | -80.00892112 | 8.5m/s | 155.37766m | 72 | Sat Nov 30 20:27:07 EST 2019
CUR_LOC | 40.37393774 | -80.00886502 | 8.5m/s | 147.86688m | 72 | Sat Nov 30 20:27:09 EST 2019
CUR_LOC | 40.37396931 | -80.00876081 | 8.5m/s | 144.2248m | 72 | Sat Nov 30 20:27:09 EST 2019
CUR_LOC | 40.37405958 | -80.00874538 | 8.5m/s | 134.22952m | 72 | Sat Nov 30 20:27:10 EST 2019
CUR_LOC | 40.37412132 | -80.00869135 | 8.75m/s | 127.582924m | 72 | Sat Nov 30 20:27:11 EST 2019
CUR_LOC | 40.37420897 | -80.00870187 | 9.0m/s | 117.813484m | 72 | Sat Nov 30 20:27:12 EST 2019
CUR_LOC | 40.37427157 | -80.00862171 | 9.0m/s | 111.52165m | 72 | Sat Nov 30 20:27:13 EST 2019
CUR_LOC | 40.37436197 | -80.00861401 | 9.25m/s | 101.66199m | 72 | Sat Nov 30 20:27:14 EST 2019
CUR_LOC | 40.37445484 | -80.00857109 | 9.75m/s | 92.12088m | 72 | Sat Nov 30 20:27:15 EST 2019
CUR_LOC | 40.37451584 | -80.00848244 | 8.75m/s | 87.40936m | 72 | Sat Nov 30 20:27:17 EST 2019
CUR_LOC | 40.37456729 | -80.00841965 | 8.0m/s | 83.797844m | 72 | Sat Nov 30 20:27:18 EST 2019
CUR_LOC | 40.37463382 | -80.00838532 | 7.75m/s | 78.210846m | 72 | Sat Nov 30 20:27:18 EST 2019
LOCOFF|40.37463382|-80.00838532|72 | Sat Nov 30 20:27:19 EST 2019
GPS_NOT_OFF (STD_TOO_LOW) | -21.482504 | 72 | Sat Nov 30 20:27:19 EST 2019
CUR_LOC | 40.37468495 | -80.00837843 | 6.25m/s | 199.38074m | 72 | Sat Nov 30 20:27:19 EST 2019
CUR_LOC | 40.37473894 | -80.00838397 | 6.25m/s | 202.87814m | 72 | Sat Nov 30 20:27:20 EST 2019
CUR_LOC | 40.37478512 | -80.00839842 | 5.75m/s | 206.65463m | 72 | Sat Nov 30 20:27:21 EST 2019
