-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:38:32 EST 2019 | 6% | 40.43703342 | -79.96288741 | 0.5m/s | 5969.6025m
CUR_LOC | Fri Nov 22 12:38:33 EST 2019 | 6% | 40.43703938 | -79.96287449 | 0.75m/s | 5968.3477m
CUR_LOC | Fri Nov 22 12:38:34 EST 2019 | 6% | 40.43704464 | -79.96285895 | 0.75m/s | 5966.982m
CUR_LOC | Fri Nov 22 12:38:35 EST 2019 | 6% | 40.43705225 | -79.96284384 | 0.75m/s | 5965.4663m
CUR_LOC | Fri Nov 22 12:38:36 EST 2019 | 6% | 40.43706376 | -79.96283452 | 0.75m/s | 5964.019m
CUR_LOC | Fri Nov 22 12:38:37 EST 2019 | 6% | 40.43707167 | -79.96281672 | 0.75m/s | 5962.313m
CUR_LOC | Fri Nov 22 12:38:38 EST 2019 | 6% | 40.43707773 | -79.96279468 | 0.75m/s | 5960.4814m
CUR_LOC | Fri Nov 22 12:38:39 EST 2019 | 6% | 40.43708258 | -79.96277735 | 0.75m/s | 5959.035m
CUR_LOC | Fri Nov 22 12:38:40 EST 2019 | 6% | 40.43708822 | -79.96276454 | 0.75m/s | 5957.811m
CUR_LOC | Fri Nov 22 12:38:41 EST 2019 | 6% | 40.43709244 | -79.96275164 | 0.75m/s | 5956.6885m
CUR_LOC | Fri Nov 22 12:38:42 EST 2019 | 6% | 40.43709235 | -79.96273822 | 0.75m/s | 5955.858m
CUR_LOC | Fri Nov 22 12:38:43 EST 2019 | 6% | 40.43709618 | -79.9627311 | 0.75m/s | 5955.1255m
CUR_LOC | Fri Nov 22 12:38:44 EST 2019 | 6% | 40.43711138 | -79.96273253 | 0.75m/s | 5954.0713m
CUR_LOC | Fri Nov 22 12:38:45 EST 2019 | 6% | 40.43711933 | -79.96272572 | 0.5m/s | 5953.0483m
CUR_LOC | Fri Nov 22 12:38:46 EST 2019 | 6% | 40.43714564 | -79.9627446 | 0.0m/s | 5952.248m
CUR_LOC | Fri Nov 22 12:38:47 EST 2019 | 6% | 40.43716562 | -79.96275969 | 0.0m/s | 5951.6885m
CUR_LOC | Fri Nov 22 12:38:48 EST 2019 | 6% | 40.43717825 | -79.96277208 | 0.0m/s | 5951.5137m
CUR_LOC | Fri Nov 22 12:38:49 EST 2019 | 6% | 40.43719095 | -79.9627853 | 0.0m/s | 5951.3857m
CUR_LOC | Fri Nov 22 12:38:50 EST 2019 | 6% | 40.43719673 | -79.96279178 | 0.25m/s | 5951.357m
CUR_LOC | Fri Nov 22 12:38:51 EST 2019 | 6% | 40.43719992 | -79.96279932 | 0.25m/s | 5951.589m
CUR_LOC | Fri Nov 22 12:38:52 EST 2019 | 6% | 40.43720707 | -79.9628019 | 0.0m/s | 5951.2134m
CUR_LOC | Fri Nov 22 12:38:53 EST 2019 | 6% | 40.43721172 | -79.96280269 | 0.0m/s | 5950.9136m
CUR_LOC | Fri Nov 22 12:38:54 EST 2019 | 6% | 40.43721338 | -79.96280036 | 0.0m/s | 5950.643m
CUR_LOC | Fri Nov 22 12:38:55 EST 2019 | 6% | 40.43721506 | -79.96279975 | 0.0m/s | 5950.479m
CUR_LOC | Fri Nov 22 12:38:56 EST 2019 | 6% | 40.43721291 | -79.96279205 | 0.0m/s | 5950.1587m
CUR_LOC | Fri Nov 22 12:38:57 EST 2019 | 6% | 40.43721157 | -79.96278708 | 0.0m/s | 5949.9487m
CUR_LOC | Fri Nov 22 12:38:58 EST 2019 | 6% | 40.43721228 | -79.96278553 | 0.0m/s | 5949.799m
CUR_LOC | Fri Nov 22 12:38:59 EST 2019 | 6% | 40.43721389 | -79.9627834 | 0.0m/s | 5949.5444m
