-------------------------------------------------------
NAV_START | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37375869 | -80.00900488 | 9.0m/s | 168.62425m | 38 | Sun Dec 01 15:59:28 EST 2019
CUR_LOC | 40.37381979 | -80.00892296 | 9.0m/s | 161.232m | 38 | Sun Dec 01 15:59:29 EST 2019
CUR_LOC | 40.37388064 | -80.00887341 | 8.75m/s | 154.23375m | 38 | Sun Dec 01 15:59:30 EST 2019
CUR_LOC | 40.37394104 | -80.00884191 | 8.25m/s | 147.42456m | 38 | Sun Dec 01 15:59:31 EST 2019
CUR_LOC | 40.3739953 | -80.00880171 | 8.0m/s | 141.32925m | 38 | Sun Dec 01 15:59:32 EST 2019
CUR_LOC | 40.3740563 | -80.00871222 | 7.75m/s | 134.69522m | 38 | Sun Dec 01 15:59:33 EST 2019
CUR_LOC | 40.37411601 | -80.00866607 | 8.0m/s | 128.32393m | 38 | Sun Dec 01 15:59:34 EST 2019
CUR_LOC | 40.37417133 | -80.00859256 | 8.25m/s | 122.87935m | 38 | Sun Dec 01 15:59:35 EST 2019
CUR_LOC | 40.37422097 | -80.00853008 | 8.0m/s | 118.278145m | 38 | Sun Dec 01 15:59:36 EST 2019
CUR_LOC | 40.37428266 | -80.00844473 | 8.25m/s | 113.18745m | 38 | Sun Dec 01 15:59:37 EST 2019
CUR_LOC | 40.37433955 | -80.00838008 | 8.5m/s | 108.70752m | 38 | Sun Dec 01 15:59:38 EST 2019
CUR_LOC | 40.37440466 | -80.00833231 | 8.25m/s | 103.31985m | 38 | Sun Dec 01 15:59:39 EST 2019
CUR_LOC | 40.37445745 | -80.00826661 | 8.25m/s | 100.23232m | 38 | Sun Dec 01 15:59:40 EST 2019
CUR_LOC | 40.3745405 | -80.00822559 | 8.5m/s | 93.760124m | 38 | Sun Dec 01 15:59:41 EST 2019
CUR_LOC | 40.37460889 | -80.00819122 | 8.5m/s | 88.92709m | 38 | Sun Dec 01 15:59:42 EST 2019
CUR_LOC | 40.37473162 | -80.00822435 | 9.75m/s | 76.30579m | 38 | Sun Dec 01 15:59:43 EST 2019
LOCOFF|40.37473162|-80.00822435|38 | Sun Dec 01 15:59:43 EST 2019
GPS_NOT_OFF (STD_TOO_LOW) | -25.201881 | 38 | Sun Dec 01 15:59:43 EST 2019
CUR_LOC | 40.37481669 | -80.00820555 | 10.0m/s | 195.1435m | 38 | Sun Dec 01 15:59:44 EST 2019
CUR_LOC | 40.37490558 | -80.00819652 | 10.0m/s | 200.54114m | 38 | Sun Dec 01 15:59:45 EST 2019
CUR_LOC | 40.37499438 | -80.00818777 | 10.0m/s | 206.28438m | 38 | Sun Dec 01 15:59:46 EST 2019
CUR_LOC | 40.37508691 | -80.00818579 | 10.0m/s | 213.03586m | 38 | Sun Dec 01 15:59:47 EST 2019
CUR_LOC | 40.37514031 | -80.0081909 | 9.25m/s | 217.43893m | 38 | Sun Dec 01 15:59:48 EST 2019
CUR_LOC | 40.37503531 | -80.00836288 | 6.25m/s | 220.58623m | 38 | Sun Dec 01 15:59:49 EST 2019
CUR_LOC | 40.37515827 | -80.00838535 | 7.25m/s | 230.90102m | 38 | Sun Dec 01 15:59:50 EST 2019
CUR_LOC | 40.37519739 | -80.00848209 | 7.25m/s | 239.93791m | 38 | Sun Dec 01 15:59:51 EST 2019
CUR_LOC | 40.37529514 | -80.00851274 | 6.75m/s | 249.11845m | 38 | Sun Dec 01 15:59:52 EST 2019
CUR_LOC | 40.37527381 | -80.00850204 | 3.0m/s | 246.84924m | 38 | Sun Dec 01 15:59:53 EST 2019
CUR_LOC | 40.37529747 | -80.0084998 | 2.75m/s | 248.48618m | 38 | Sun Dec 01 15:59:54 EST 2019
CUR_LOC | 40.37527888 | -80.00852514 | 1.0m/s | 248.68039m | 38 | Sun Dec 01 15:59:55 EST 2019
CUR_LOC | 40.37527756 | -80.00855736 | 0.75m/s | 250.61942m | 38 | Sun Dec 01 15:59:56 EST 2019
CUR_LOC | 40.37523667 | -80.00853469 | 1.75m/s | 246.17163m | 38 | Sun Dec 01 15:59:57 EST 2019
CUR_LOC | 40.37523176 | -80.00849369 | 3.5m/s | 243.19925m | 38 | Sun Dec 01 15:59:58 EST 2019
CUR_LOC | 40.37522342 | -80.00845391 | 4.0m/s | 240.06372m | 38 | Sun Dec 01 15:59:59 EST 2019
